date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/3/30,110.2301,1224.46,2063.95,4869.29,36.91,4953.797619,0.36,1.83,1.07,13.56,4482840,127.119,-108042.7307,19264939,143662,263250,5,6129,0,0,1.52,99.96378,-0.37015,0.93,-0.53
2016/3/31,109.9191,1232.44,2059.74,4869.85,36.94,4953.797619,0.36,1.78,1.05,13.95,4482840,303.849,-108042.7307,19264939,143662,263250,5,6129,0,0,1.49,99.96378,-0.37015,0.93,-0.47
2016/4/1,110.2977,1222.16,2072.78,4914.54,35.36,4872.738095,0.37,1.79,1.03,13.1,4482840,89.118,106451.8718,19381591,143855,263250,5.1,5803,0.383064516,0.246229924,1.49,99.92219,-0.37929,0.93,-0.49
2016/4/2,110.2977,1222.16,2072.78,4914.54,35.36,4872.738095,0.37,1.79,1.03,13.1,4482840,89.118,106451.8718,19381591,143855,267750,5.1,5803,0,0,1.49,99.92219,-0.37929,1.14,-0.49
2016/4/3,110.2977,1222.16,2072.78,4914.54,35.36,4872.738095,0.37,1.79,1.03,13.1,4482840,89.118,106451.8718,19381591,143855,267750,5.1,5803,0,0,1.49,99.92219,-0.37929,1.14,-0.49
2016/4/4,110.3987,1215.55,2066.13,4891.8,34.3,4872.738095,0.37,1.78,1.03,14.12,4482840,65.692,106451.8718,19381591,143855,267750,5.1,5803,0.383064516,0.246229924,1.48,99.92219,-0.37929,1.14,-0.49
2016/4/5,110.9478,1230.47,2045.17,4843.93,34.52,4872.738095,0.37,1.73,1.01,15.42,4482840,44.369,106451.8718,19381591,143855,267750,5.1,5803,0.383064516,0.246229924,1.43,99.92219,-0.37929,1.14,-0.43
2016/4/6,110.5347,1222.03,2066.66,4920.72,37.74,4872.738095,0.37,1.76,1.03,14.09,4484069,27.455,106451.8718,19381591,143855,267750,5.1,5803,0.383064516,0.246229924,1.43,99.92219,-0.37929,1.14,-0.46
2016/4/7,110.8876,1240.6,2041.91,4848.37,37.3,4872.738095,0.37,1.7,1,16.16,4484069,34.065,106451.8718,19381591,143855,267750,5.1,5803,0.383064516,0.246229924,1.41,99.92219,-0.37929,1.14,-0.4
2016/4/8,110.4213,1240.49,2047.6,4850.69,39.74,4872.738095,0.37,1.72,1.02,15.36,4484069,21.618,106451.8718,19381591,143855,267750,5.1,5803,0.383064516,0.246229924,1.43,99.92219,-0.38419,1.14,-0.42
